0	1
1	5
2	6
3	8
4	2
5	1
6	10
7	7
8	12
9	2
10	12
11	5
12	11
13	10
14	4
15	3
16	8
17	17
18	13
19	20
20	6
21	3
22	10
23	22
24	12
25	25
26	16
27	2
28	6
29	13
30	5
31	12
32	10
33	8
34	5
35	8
36	10
37	15
38	9
39	10
40	10
41	2
42	22
43	24
44	7
45	16
46	16
47	11
48	6
49	15
50	8
51	6
52	16
53	13
54	8
55	24
56	20
57	15
58	4
59	25
60	16
61	25
62	7
63	25
64	11
65	26
66	2
67	28
68	17
69	2
70	14
71	8
72	10
73	9
74	25
75	5
76	25
77	24
78	9
79	20
80	2
81	24
82	8
83	9
84	9
85	16
86	10
87	10
88	2
89	10
90	15
91	8
92	2
93	24
94	12
95	6
96	8
97	12
98	8
99	8
100	19
101	25
102	8
103	7
104	25
105	11
106	3
107	25
108	9
109	8
110	9
111	2
112	25
113	10
114	10
115	24
116	25
117	8
118	2
119	22
120	8
121	25
122	25
123	24
124	5
125	1
126	2
127	9
128	28
129	16
130	4
131	8
132	28
133	16
134	25
135	11
136	5
137	20
138	16
139	14
140	4
141	9
142	20
143	16
144	4
145	1
146	24
147	25
148	10
149	10
150	2
151	8
152	18
153	18
154	4
155	2
156	16
157	8
158	12
159	19
160	15
161	19
162	10
163	25
164	2
165	24
166	8
167	20
168	8
169	25
170	5
171	25
172	1
173	22
174	2
175	11
176	3
177	4
178	24
179	24
180	22
181	8
182	5
183	2
184	22
185	16
186	5
187	25
188	14
189	9
190	1
191	9
192	9
193	2
194	8
195	14
196	9
197	10
198	25
199	9
200	13
201	13
202	1
203	12
204	8
205	14
206	12
207	5
208	14
209	11
210	25
211	9
212	20
213	9
214	12
215	22
216	16
217	22
218	28
219	16
220	8
221	7
222	13
223	24
224	2
225	25
226	24
227	8
228	1
229	24
230	20
231	8
232	6
233	1
234	6
235	21
236	8
237	1
238	13
239	8
240	14
241	14
242	10
243	24
244	10
245	16
246	15
247	4
248	8
249	8
250	16
251	2
252	6
253	21
254	22
255	25
256	8
257	3
258	24
259	4
260	25
261	16
262	18
263	25
264	25
265	16
266	1
267	9
268	25
269	24
270	24
271	27
272	25
273	25
274	28
275	15
276	3
277	8
278	1
279	4
280	25
281	22
282	25
283	9
284	5
285	10
286	8
287	25
288	6
289	25
290	7
291	18
292	8
293	8
294	8
295	25
296	15
297	25
298	4
299	10
300	12
301	17
302	6
303	24
304	5
305	20
306	9
307	24
308	9
309	8
310	19
311	10
312	26
313	9
314	27
315	22
316	28
317	1
318	25
319	4
320	14
321	17
322	17
323	14
324	7
325	12
326	17
327	16
328	25
329	19
330	20
331	25
332	24
333	25
334	8
335	7
336	7
337	24
338	2
339	8
340	22
341	8
342	25
343	11
344	12
345	20
346	24
347	12
348	4
349	24
350	17
351	25
352	25
353	25
354	25
355	21
356	25
357	1
358	18
